DATE,PRODUCT_ID,PRODUCT_NAME,FORCASTED_SALES,ACTUAL_SALES,,Accuracy
18-03-2015,62883,LOVELAND15BCTO,84,10,74,88%
20-04-2017,77340,PR51377HOUSTN14A,68,49,19,28%
21-01-2016,60150,TULIP15SKLBTX,34,69,-35,-103%
20-08-2017,199,PARTS,71,9,62,87%
04-07-2017,199,PARTS,46,43,3,7%
23-07-2017,199,PARTS,51,80,-29,-57%
04-12-2016,57616,CRESTED BUTTEBTX,45,90,-45,-100%
29-10-2017,199,PARTS,66,44,22,33%
03-11-2017,199,PARTS,91,59,32,35%
03-11-2016,61590,DINO2BTX,62,39,23,37%
12-06-2016,61590,DINO2BTX,7,98,-91,-1300%
20-11-2016,56744,MARBLE FALLS14BTX,59,66,-7,-12%
07-11-2017,61590,DINO2BTX,37,74,-37,-100%
20-10-2017,81734,PR54220MIRMAR15A,41,84,-43,-105%
23-11-2017,57525,HOUSTON15BTX,57,100,-43,-75%
20-03-2015,57495,GOLIADMLK12CTOE,94,67,27,29%
12-08-2016,57455,TITAN14MLKBDWBTX,5,30,-25,-500%
15-02-2017,57525,HOUSTON15BTX,78,89,-11,-14%
23-10-2015,199,PARTS,38,40,-2,-5%
24-05-2016,52375,SALADO 14 CTO,72,44,28,39%
06-05-2016,56151,MAGELLAN14CTO,35,25,10,29%
26-08-2016,56151,MAGELLAN14CTO,87,70,17,20%
30-10-2016,59515,BELMONTBTX,99,98,1,1%
30-07-2015,55725,CEDAR15HSWBTX,34,6,28,82%
15-11-2015,55725,CEDAR15HSWBTX,98,40,58,59%
05-10-2016,55725,CEDAR15HSWBTX,36,63,-27,-75%
13-06-2017,62907,BEAVERCREEK14BTX,88,84,4,5%
10-06-2017,66803,SOMERSETBTX,97,37,60,62%
23-02-2015,78661,PR52109HOUSTN14A,33,36,-3,-9%
26-08-2016,59384,IRIS15BDWBTX,84,4,80,95%
08-05-2016,199,PARTS,44,16,28,64%
31-07-2017,62881,LOVELAND14SBTX,80,50,30,38%
22-09-2017,57527,HOUSTON15CTO,88,74,14,16%
22-12-2015,199,PARTS,9,37,-28,-311%
20-09-2016,66803,SOMERSETBTX,79,39,40,51%
14-05-2016,66803,SOMERSETBTX,19,99,-80,-421%
13-06-2017,62881,LOVELAND14SBTX,77,7,70,91%
17-12-2017,199,PARTS,54,15,39,72%
01-11-2016,62876,PARKCITY15TAA1,97,39,58,60%
25-12-2016,66803,SOMERSETBTX,84,86,-2,-2%
17-09-2015,62881,LOVELAND14SBTX,95,11,84,88%
15-06-2015,62881,LOVELAND14SBTX,73,80,-7,-10%
20-11-2016,199,PARTS,3,14,-11,-367%
28-01-2016,68337,ROUND ROCKMLKBTX,45,45,0,0%
02-02-2017,60707,VANGOGH15SKLBTX,20,51,-31,-155%
05-09-2015,55725,CEDAR15HSWBTX,30,45,-15,-50%
17-08-2016,61590,DINO2BTX,72,98,-26,-36%
13-08-2016,60150,TULIP15SKLBTX,70,92,-22,-31%
31-10-2017,199,PARTS,55,97,-42,-76%
24-05-2015,54983,ROUND ROCK,71,75,-4,-6%
12-01-2016,62881,LOVELAND14SBTX,100,81,19,19%
11-01-2017,52370,SALADO 14,74,42,32,43%
11-02-2017,52370,SALADO 14,64,17,47,73%
07-05-2017,74125,PR49640GOL12MLKA,40,32,8,20%
27-12-2015,52357,SALADO15TAA1,11,68,-57,-518%
13-05-2015,56157,COLUMBUS12CTO1,95,51,44,46%
08-03-2017,199,PARTS,89,82,7,8%
11-11-2017,77005,PR45058HOUSTON12,60,36,24,40%
16-08-2016,69981,PR47228CRESBUTEO,36,19,17,47%
02-03-2017,63036,MIRAMAR17TAA1,12,86,-74,-617%
26-09-2017,68337,ROUND ROCKMLKBTX,39,45,-6,-15%
07-08-2017,68337,ROUND ROCKMLKBTX,69,56,13,19%
04-07-2017,59384,IRIS15BDWBTX,84,36,48,57%
24-09-2016,62856,PARKCITY15BTX,73,34,39,53%
14-11-2016,62856,PARKCITY15BTX,50,17,33,66%
13-09-2015,62856,PARKCITY15BTX,71,47,24,34%
10-01-2017,62856,PARKCITY15BTX,28,84,-56,-200%
10-06-2016,55758,MAPLEM15BDWBTX,14,75,-61,-436%
28-02-2015,199,PARTS,8,68,-60,-750%
25-01-2015,63886,PANDORA15SKLBTX,27,30,-3,-11%
01-10-2016,63886,PANDORA15SKLBTX,49,35,14,29%
27-06-2017,82596,PR54619PKCTYP15O,37,15,22,59%
26-10-2016,199,PARTS,67,89,-22,-33%
07-01-2017,199,PARTS,5,51,-46,-920%
04-04-2017,199,PARTS,51,45,6,12%
25-02-2016,62853,PARKCITY14BTX,61,58,3,5%
13-12-2015,55758,MAPLEM15BDWBTX,11,28,-17,-155%
31-12-2016,70901,ROCKET11BSWBTX,57,67,-10,-18%
09-12-2015,53302,DIESEL17GREYFED,84,60,24,29%
21-04-2016,199,PARTS,19,73,-54,-284%
26-12-2016,60147,TULIP15BDWBTX,98,63,35,36%
21-04-2017,473,NON_TIED_PERIPHERALS,47,33,14,30%
03-02-2017,55758,MAPLEM15BDWBTX,25,84,-59,-236%
12-05-2017,69923,CELTICBTX,40,58,-18,-45%
02-06-2015,63251,BLACKWOODSKLBTX,72,100,-28,-39%
15-06-2016,63251,BLACKWOODSKLBTX,56,65,-9,-16%
24-04-2017,63251,BLACKWOODSKLBTX,96,26,70,73%
28-04-2015,55758,MAPLEM15BDWBTX,36,54,-18,-50%
09-02-2017,53512,GOLIAD 14,95,84,11,12%
27-04-2016,60147,TULIP15BDWBTX,26,98,-72,-277%
18-05-2016,60147,TULIP15BDWBTX,59,31,28,47%
14-05-2015,57368,FIGTREECTO,84,16,68,81%
05-01-2016,70899,PR29256CRESBUTTE,68,13,55,81%
26-07-2017,199,PARTS,44,64,-20,-45%
31-03-2017,60150,TULIP15SKLBTX,57,67,-10,-18%
17-09-2015,61590,DINO2BTX,47,79,-32,-68%
20-05-2016,63886,PANDORA15SKLBTX,71,5,66,93%
09-10-2015,68337,ROUND ROCKMLKBTX,72,3,69,96%
29-12-2016,63886,PANDORA15SKLBTX,21,19,2,10%
08-11-2016,63886,PANDORA15SKLBTX,80,2,78,98%
04-02-2016,63251,BLACKWOODSKLBTX,23,25,-2,-9%
09-02-2015,57616,CRESTED BUTTEBTX,55,30,25,45%
26-06-2015,57190,ERIKSSON14BTX,28,23,5,18%
16-07-2015,57190,ERIKSSON14BTX,1,90,-89,-8900%
03-06-2016,52371,SALADO 15,36,28,8,22%
20-01-2016,60147,TULIP15BDWBTX,98,46,52,53%
01-06-2017,60147,TULIP15BDWBTX,66,46,20,30%
16-09-2017,62850,PARKCITY12BTX,63,46,17,27%
10-07-2015,60152,TULIP14AMDBTX,71,5,66,93%
08-03-2015,62850,PARKCITY12BTX,37,24,13,35%
07-02-2017,69923,CELTICBTX,34,55,-21,-62%
13-11-2017,60705,VANGOGH15BDWBTX,75,90,-15,-20%
12-11-2015,60150,TULIP15SKLBTX,72,48,24,33%
20-05-2017,69923,CELTICBTX,93,57,36,39%
02-05-2017,62877,LOVELAND14BBTX,49,81,-32,-65%
05-10-2016,60705,VANGOGH15BDWBTX,53,78,-25,-47%
11-09-2015,57623,CRESTEDBUTTECTO1,44,2,42,95%
01-02-2016,57616,CRESTED BUTTEBTX,56,91,-35,-63%
01-02-2015,61590,DINO2BTX,30,94,-64,-213%
12-07-2015,60150,TULIP15SKLBTX,46,69,-23,-50%
13-10-2017,60150,TULIP15SKLBTX,98,24,74,76%
08-06-2016,57455,TITAN14MLKBDWBTX,69,51,18,26%
29-07-2017,63095,MERIDIANBTX,88,85,3,3%
12-04-2016,60150,TULIP15SKLBTX,22,72,-50,-227%
11-06-2017,63251,BLACKWOODSKLBTX,14,86,-72,-514%
15-09-2016,63251,BLACKWOODSKLBTX,65,95,-30,-46%
28-06-2017,79343,PR52550MARFALS14,83,44,39,47%
16-10-2017,60147,TULIP15BDWBTX,52,43,9,17%
25-11-2017,72549,PR30432CRESBUTTE,72,90,-18,-25%
12-11-2015,52371,SALADO 15,88,98,-10,-11%
24-01-2016,60150,TULIP15SKLBTX,98,26,72,73%
14-05-2017,73519,PR49168HOUSTN14O,84,12,72,86%
13-05-2017,60150,TULIP15SKLBTX,62,28,34,55%
10-11-2015,70898,PR29286CRESBUTTE,47,94,-47,-100%
02-10-2017,63251,BLACKWOODSKLBTX,88,61,27,31%
26-04-2016,63251,BLACKWOODSKLBTX,59,96,-37,-63%
07-02-2016,64248,JAYTONBTX,78,48,30,38%
16-11-2015,62904,BEAVERCREEK12BTX,81,29,52,64%
07-02-2016,73785,PR49455MARFALS14,3,43,-40,-1333%
04-02-2017,62892,LOVELAND15FBCTO,2,86,-84,-4200%
10-10-2016,62870,PARKCITY12TAA1,79,5,74,94%
14-10-2017,63886,PANDORA15SKLBTX,10,25,-15,-150%
05-07-2015,63095,MERIDIANBTX,32,92,-60,-188%
26-09-2016,60150,TULIP15SKLBTX,91,43,48,53%
24-06-2016,62881,LOVELAND14SBTX,70,37,33,47%
18-08-2016,60705,VANGOGH15BDWBTX,73,63,10,14%
13-11-2016,75888,PR50798COLUMXFR,87,21,66,76%
22-12-2015,199,PARTS,88,22,66,75%
18-01-2017,57379,JEFFERSONBTX,84,93,-9,-11%
13-10-2015,57379,JEFFERSONBTX,87,81,6,7%
31-07-2015,63251,BLACKWOODSKLBTX,41,65,-24,-59%
20-05-2016,80760,PR53343ERIKSNATG,85,21,64,75%
25-02-2016,199,PARTS,79,63,16,20%
06-11-2017,63251,BLACKWOODSKLBTX,91,33,58,64%
27-09-2015,62878,LOVELAND14BCTO,83,13,70,84%
08-11-2016,56743,MARBLE FALLS14CTO,88,44,44,50%
17-07-2016,199,PARTS,95,23,72,76%
19-10-2016,61339,MIRAMAR 15,67,88,-21,-31%
11-02-2017,60705,VANGOGH15BDWBTX,56,89,-33,-59%
01-09-2017,60150,TULIP15SKLBTX,41,33,8,20%
13-03-2017,199,PARTS,11,68,-57,-518%
07-06-2017,59515,BELMONTBTX,74,65,9,12%
05-01-2017,65654,PR39219MARFALS14,98,61,37,38%
27-01-2016,60151,TULIP17SKLBTX,40,75,-35,-88%
26-08-2015,59670,PLANOBCTO,23,45,-22,-96%
23-10-2015,199,PARTS,69,37,32,46%
12-11-2017,59670,PLANOBCTO,98,48,50,51%
28-05-2016,62851,PARKCITY12CTO,74,26,48,65%
09-12-2015,61590,DINO2BTX,79,52,27,34%
23-09-2016,62904,BEAVERCREEK12BTX,26,38,-12,-46%
06-12-2015,53292,DIESEL 17,3,87,-84,-2800%
05-12-2015,62880,LOVELAND15SCTO,67,34,33,49%
03-04-2015,60813,BERLINETTABTX,76,99,-23,-30%
26-02-2017,63039,PARKCITY-P15CTO,16,83,-67,-419%
18-07-2015,69237,PR46653SALADO14,9,74,-65,-722%
21-01-2015,62882,LOVELAND14SCTO,24,65,-41,-171%
21-03-2016,63095,MERIDIANBTX,62,5,57,92%
08-05-2015,56746,MARBLE FALLS15BTX,78,58,20,26%
27-10-2015,76926,PR51307DIESEL17,86,77,9,10%
24-01-2016,60149,TULIP14SKLBTX,31,84,-53,-171%
20-03-2015,64250,JAYTONSECUREBTX,59,6,53,90%
02-08-2015,60150,TULIP15SKLBTX,62,10,52,84%
13-11-2015,60150,TULIP15SKLBTX,92,11,81,88%
30-06-2016,60150,TULIP15SKLBTX,74,95,-21,-28%
20-01-2017,60153,TULIP15AMDBTX,1,75,-74,-7400%
25-04-2015,72168,PR48340CRESBUTEA,27,1,26,96%
13-11-2015,63399,ECHO 17 MLK CTO,72,87,-15,-21%
02-03-2016,74484,PR49941GOL12MLKO,89,14,75,84%
07-04-2017,63251,BLACKWOODSKLBTX,25,18,7,28%
03-05-2017,69925,CELTICCTO,64,43,21,33%
12-08-2016,62907,BEAVERCREEK14BTX,69,16,53,77%
15-05-2017,66803,SOMERSETBTX,88,82,6,7%
24-05-2017,57379,JEFFERSONBTX,6,43,-37,-617%
01-02-2015,57379,JEFFERSONBTX,28,83,-55,-196%
17-11-2016,60705,VANGOGH15BDWBTX,74,84,-10,-14%
21-01-2015,199,PARTS,28,94,-66,-236%
11-08-2016,199,PARTS,17,57,-40,-235%
09-11-2016,60150,TULIP15SKLBTX,9,70,-61,-678%
01-07-2016,60150,TULIP15SKLBTX,23,33,-10,-43%
23-01-2016,60150,TULIP15SKLBTX,91,38,53,58%
09-05-2016,60150,TULIP15SKLBTX,92,72,20,22%
07-01-2016,60705,VANGOGH15BDWBTX,93,79,14,15%
19-04-2016,59515,BELMONTBTX,12,44,-32,-267%
23-06-2016,62904,BEAVERCREEK12BTX,15,1,14,93%
04-04-2017,199,PARTS,22,70,-48,-218%
29-08-2017,73929,DRAXBTX,74,2,72,97%
18-11-2016,62856,PARKCITY15BTX,98,93,5,5%
01-05-2016,62856,PARKCITY15BTX,74,20,54,73%
16-07-2016,199,PARTS,43,11,32,74%
16-12-2015,36029,SLINKY,86,47,39,45%
10-01-2015,62907,BEAVERCREEK14BTX,10,13,-3,-30%
19-04-2015,60150,TULIP15SKLBTX,73,80,-7,-10%
09-12-2015,59384,IRIS15BDWBTX,68,26,42,62%
14-06-2017,55758,MAPLEM15BDWBTX,55,85,-30,-55%
01-06-2017,55758,MAPLEM15BDWBTX,70,73,-3,-4%
03-07-2017,57499,GOLIADMLK14BTXE,46,5,41,89%
24-07-2015,62907,BEAVERCREEK14BTX,93,64,29,31%
20-04-2015,84457,PR55748PRKCTY15O,23,95,-72,-313%
26-05-2015,56151,MAGELLAN14CTO,49,5,44,90%
09-03-2017,56151,MAGELLAN14CTO,77,96,-19,-25%
06-09-2017,63032,BERLINETTAPTAA1,10,90,-80,-800%
07-11-2016,61341,MIRAMAR 17,73,26,47,64%
19-07-2015,62907,BEAVERCREEK14BTX,81,98,-17,-21%
28-08-2017,60705,VANGOGH15BDWBTX,76,17,59,78%
14-01-2016,61333,BERLINETTA P,69,57,12,17%
17-12-2016,62879,LOVELAND15BBTX,3,2,1,33%
11-08-2015,60825,BOLDPEAK2,81,46,35,43%
13-08-2017,62907,BEAVERCREEK14BTX,93,77,16,17%
20-02-2015,57616,CRESTED BUTTEBTX,48,75,-27,-56%
11-05-2017,63256,COTTONWOODSKLBTX,98,97,1,1%
01-03-2015,62907,BEAVERCREEK14BTX,5,62,-57,-1140%
29-08-2017,62907,BEAVERCREEK14BTX,45,54,-9,-20%
08-03-2017,79077,PR52471DIESEL15,3,46,-43,-1433%
22-10-2016,60812,VENENOBTX,77,61,16,21%
01-07-2015,63039,PARKCITY-P15CTO,11,39,-28,-255%
16-02-2015,199,PARTS,80,3,77,96%
15-09-2015,199,PARTS,80,49,31,39%
06-04-2015,60704,VANGOGH14BDWBTX,58,71,-13,-22%
04-04-2015,62877,LOVELAND14BBTX,32,85,-53,-166%
29-12-2015,56160,MAGELLAN14CTO1,22,54,-32,-145%
02-05-2016,70524,PRGOLIADMLK123,25,27,-2,-8%
19-02-2015,199,PARTS,94,89,5,5%
19-10-2015,62882,LOVELAND14SCTO,70,63,7,10%
22-06-2017,53542,ALPINE 15,16,70,-54,-338%
10-10-2015,199,PARTS,31,46,-15,-48%
14-06-2017,53542,ALPINE 15,22,19,3,14%
17-07-2017,57514,HOUSTON12CTOE,70,68,2,3%
14-02-2017,60704,VANGOGH14BDWBTX,19,79,-60,-316%
20-05-2017,60150,TULIP15SKLBTX,69,73,-4,-6%
08-10-2017,63095,MERIDIANBTX,10,34,-24,-240%
17-08-2017,62904,BEAVERCREEK12BTX,80,95,-15,-19%
30-06-2016,62907,BEAVERCREEK14BTX,44,33,11,25%
22-02-2017,60704,VANGOGH14BDWBTX,78,8,70,90%
06-03-2016,57616,CRESTED BUTTEBTX,66,62,4,6%
12-09-2017,59515,BELMONTBTX,94,28,66,70%
24-10-2017,61339,MIRAMAR 15,31,87,-56,-181%
03-01-2016,57616,CRESTED BUTTEBTX,88,79,9,10%
20-08-2016,68338,ROUND ROCKMLKCTO,21,98,-77,-367%
23-07-2017,56746,MARBLE FALLS15BTX,24,4,20,83%
18-08-2016,62907,BEAVERCREEK14BTX,90,49,41,46%
21-07-2015,63886,PANDORA15SKLBTX,37,22,15,41%
27-12-2017,62851,PARKCITY12CTO,32,86,-54,-169%
24-03-2017,81747,PR53907COLUMXFR,43,3,40,93%
01-03-2017,62908,BEAVERCREEK14CTO,44,36,8,18%
21-05-2015,63886,PANDORA15SKLBTX,79,30,49,62%
09-03-2017,61173,JASBSW20BTX,68,39,29,43%
05-03-2015,60149,TULIP14SKLBTX,18,59,-41,-228%
04-11-2015,64250,JAYTONSECUREBTX,98,47,51,52%
19-11-2016,60150,TULIP15SKLBTX,23,89,-66,-287%
24-12-2017,61341,MIRAMAR 17,46,27,19,41%
18-01-2017,59384,IRIS15BDWBTX,95,59,36,38%
10-05-2016,56745,MARBLE FALLS15CTO,99,8,91,92%
22-10-2016,60150,TULIP15SKLBTX,31,14,17,55%
09-01-2015,59384,IRIS15BDWBTX,29,21,8,28%
05-09-2016,57616,CRESTED BUTTEBTX,22,75,-53,-241%
23-12-2017,62907,BEAVERCREEK14BTX,59,3,56,95%
05-07-2015,62907,BEAVERCREEK14BTX,82,92,-10,-12%
30-09-2016,60705,VANGOGH15BDWBTX,85,87,-2,-2%
03-03-2017,62856,PARKCITY15BTX,37,18,19,51%
22-07-2016,62907,BEAVERCREEK14BTX,57,24,33,58%
26-03-2015,57495,GOLIADMLK12CTOE,24,3,21,88%
06-04-2015,53775,LATITUDE OAK14,82,66,16,20%
18-12-2015,199,PARTS,13,34,-21,-162%
05-08-2017,62856,PARKCITY15BTX,27,99,-72,-267%
08-09-2017,199,PARTS,73,1,72,99%
21-05-2017,63886,PANDORA15SKLBTX,85,40,45,53%
07-04-2016,57515,HOUSTON12CTO,90,47,43,48%
08-03-2015,62907,BEAVERCREEK14BTX,93,85,8,9%
21-04-2017,62907,BEAVERCREEK14BTX,34,27,7,21%
18-07-2017,57616,CRESTED BUTTEBTX,68,46,22,32%
03-03-2016,57527,HOUSTON15CTO,98,62,36,37%
15-09-2017,62884,LOVELAND15SBTX,17,67,-50,-294%
03-05-2017,62884,LOVELAND15SBTX,53,25,28,53%
29-12-2015,62884,LOVELAND15SBTX,84,26,58,69%
17-06-2017,61341,MIRAMAR 17,97,8,89,92%
29-01-2015,62856,PARKCITY15BTX,68,86,-18,-26%
12-02-2015,59515,BELMONTBTX,10,76,-66,-660%
23-02-2015,199,PARTS,87,55,32,37%
12-01-2017,60704,VANGOGH14BDWBTX,2,95,-93,-4650%
03-12-2016,62856,PARKCITY15BTX,37,50,-13,-35%
13-12-2015,63276,MAPLE15SKLBTX,46,11,35,76%
16-05-2015,57368,FIGTREECTO,95,24,71,75%
10-03-2016,66803,SOMERSETBTX,59,77,-18,-31%
05-02-2017,199,PARTS,58,64,-6,-10%
04-05-2016,59384,IRIS15BDWBTX,18,39,-21,-117%
30-12-2016,199,PARTS,66,31,35,53%
08-07-2016,62884,LOVELAND15SBTX,86,8,78,91%
13-01-2015,62856,PARKCITY15BTX,85,66,19,22%
